,,,,,,,,
No,Amperage,Voltage,Wiring,Brand,Model,Bearing,Connector,
1,0.08,12,2,Kanrich,EC - 4510,,Wire,
2,0.11,12,2,Panaflo,FBK-06A12L,,Female,
3,0.2,12,3,Panaflo,FBK04FS2H,,Female,
4,0.16,12,2,Canon,CF60-T311N1D,,Female,
5,,12,2,Sunon,KD1204PFB2-8,,Female,
6,0.08,12,2,Fonsan,DFB0412M,,Female,
7,0.2,12,2,Panaflo,FBK-04F12H,,Wire,
8,0.2,12,3,Panaflo,FBK04F12H,,Female,
9,0.23,12,2,Mechatronics,F6025E12B3,Ball,Wire,
10,0.2,12,3,Panaflo,FBK04F12H,,Female,
11,0.2,12,2,Panaflo,FBK-04F12H,,Wire,
12,,12,2,Sunon,KD1204PFB2-8,,Wire,
13,0.2,12,3,Panaflo,FBK04F12H,,Female,
14,0.2,12,3,Panaflo,FBK04F12H,,Female,
15,0.2,12,2,Panaflo,FBK-04F12H,,Wire,
16,0.2,12,3,Panaflo,FBK04F12H,,Female,
17,0.2,12,3,Panaflo,FBK04F12H,,Female,
18,1.6,12,4,Delta,AFC1212DE,,Female,BOX 8 FANS #1
19,0.4,12,4,Foxconn,PV902512PSPF,,Female,
20,2,12,3,DATECH,DS9238-12HBTL-A,,Female,
21,0.2,12,3,Panaflo,FBK04F12H,,Female,
22,0.15,12,3,Delta,ASB0912L,,Female,
23,0.17,12,3,DYNAEON,DF128025PL,,Female,
24,0.6,12,4,FOXCONN,PV903212PSPF0A,,Female,
25,0.08,12,2,CYBER,,BALL,Female,
26,0.08,12,2,Nidec,D04X-12TL05,,Female,
27,0.51,12,4,Sunon,80381V1,MAGLEV,Female,
28,0.13,12,3,Minebea-Matsushita,2404KL-04W,,Female,
29,0.13,12,3,Minebea-Matsushita,2404KL-04W,,Female,
30,0.14,12,2,KEEP,A8025M12S,,Female,
31,0.3,12,3,Delta,AFB0712HHD,,Female,
32,1.5,12,4,AVC,DB09238B12,,Female,
33,0.17,12,3,DYNAEON,DF128025PL,,Female,
34,0.4,12,4,FOXCONN,PV902512PSPF0D,,Female,
35,1.8,12,3,Nidec,M35105-57,,Female,
36,0.3,12,4,AVC,DE07015B12L,,Female,
37,0.16,12,3,YATE LOON,D60BH-12B,,Female,
38,1.3,12,4,Minebea-Matsushita,4715KL-04W-B56,,Female,
39,1.3,12,4,Minebea-Matsushita,4715KL-04W-B56,,Female,
40,1.4,12,4,Nidec,B35502-35,,Female,
41,0.2,12,3,Panaflo,FBK04F12H,,Female,
42,0.2,12,2,PRPST,612 NG,,Female,#2 box
43,0.2,12,2,PRPST,612 NG,,Female,
44,0.2,12,2,PRPST,612 NG,,Female,
45,0.2,12,2,PRPST,612 NG,,Female,
46,0.08,12,2,PRPST,412,,Female,
47,0.08,12,2,PRPST,412,,Female,
48,0.6,12,3,FOXCONN,PV903212,,Female,
49,0.6,12,3,FOXCONN,PV903212,,Female,
50,0.36,12,3,FOXCONN,PV080F12H,,Female,
51,0.35,12,3,Sunon,PSD1209,MAGLEV,Female,
52,0.605,12,4,Nidec,T92C12,,Female,
53,0.605,12,4,Nidec,T92C12,,Female,
54,0.39,12,3,Sunon,PMD1209,maglev,Female,
55,0.56,12,4,Minebea-Matsushita,3610RL,,Female,
56,,12,4,Sunon,MF80201VX,maglev,Female,
57,0.35,12,4,Sunon,PSD1209,MAGLEV,Female,
58,0.16,12,3,Rosewill,ROCF-11001,,Female,
59,0.16,12,3,MSI,DF1202512,,Female,
60,0.6,12,3,FOXCONN,PV903212,,Female,
61,0.18,12,3,ULTRA,E25956,,Female,
62,0.15,12,3,COSAIR,SD-12025L,,Female,
63,0.15,12,3,COSAIR,SD-12025L,,Female,
64,0.13,12,4,ARCTIC,G8Y263,,Female,
65,0.9,12,4,FOXCONN,PV123812DSPF,,Female,
66,1.35,12,4,Delta,FFB0812EHE,,Female,box 6 fans #1
67,0.4,12,4,FOXCONN,PV902512,,Female,
68,2,12,3,DATECH,DS9238-12,,Female,
69,0.56,12,3,Minebea-Matsushita,3610KL,,Female,
70,0.3,12,3,HEC,D12SL-12,SLEEVE,Female,
71,0.56,12,3,Minebea-Matsushita,3610KL,,Female,
72,0.19,12,3,Delta,DSB0912M,,Female,
73,1.5,12,4,AVC,DB09238B12H,,Female,
74,0.9,12,4,FOXCONN,PV123812DSPF,,Female,
75,0.25,12,3,ADDA,AD0912HS,,Female,
76,0.4,12,3,FOXCONN,PV801512MSPF,,Female,
77,0.36,12,3,SUPERRED,CHA9212ES,,Female,
78,0.36,12,4,Delta,AFB0612VHC,,Female,
79,0.9,12,4,FOXCONN,PV123812DSPF,,Female,
80,0.68,12,4,Minebea-Matsushita,3612KL,,Female,
81,0.17,12,3,DYNAEON,DF128025PL,,Female,
82,0.6,12,3,JMC DATECH,9025-12HBTB,,Female,
83,0.14,12,2,COLORFUL,CF-12825MS,,Female,
84,0.56,12,3,Minebea-Matsushita,3610KL,,Female,
